model,lambda_c,fold,strategy,n_interventions,accuracy,run_id,run_name,source_summary_key
CEM,0.5,3,random,6,0.8237252030355479,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,7,0.8237252030355479,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,8,0.8237252030355479,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,9,0.8241246172280655,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,10,0.8238583410997204,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,11,0.8237252030355479,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,12,0.8241246172280655,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,13,0.8243908933564106,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,14,0.8245240314205832,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,15,0.8247903075489282,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,16,0.8243908933564106,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,17,0.8253228598056185,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,0,0.8307815204366928,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,1,0.8307815204366928,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,2,0.8309146585008654,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,3,0.8311809346292105,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,4,0.8309146585008654,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,5,0.8313140726933831,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,6,0.8314472107575556,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,7,0.8314472107575556,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,8,0.8311809346292105,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,9,0.8311809346292105,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,10,0.8323791772067635,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,11,0.8322460391425909,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,12,0.8326454533351085,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,13,0.8331780055917987,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,14,0.8333111436559713,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,15,0.8331780055917987,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,16,0.833976833976834,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,4,random,17,0.8346425242976967,cqbfb5ve,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,5,random,0,0.8262548262548263,fl5spwga,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_5,interv/random_group_level_True_use_prior_False/curve_table
